label_type	pref_label	label
cell	um-scc-4	um-scc-4
cell	um-scc-47	um-scc-47
cell	um-scc-74a	um-scc-74a
cell	upr9	upr9
cell	urothelium cell line	human ureter cell
cell	urothelium cell line	urothelial cell
cell	urothelium cell line	urothelium cell line
cell	urothelium cell line	urotsa cell
cell	vcap	vcap
cell	wa-7	wa-7
cell	weri-rb-1	weri rb 1
cell	weri-rb-1	weri_rb_1
cell	weri-rb-1	weri-rb-1
cell	wi38	wi38
cell	wi-38	wi-38
cell	wibr1	wibr1
cell	wibr2	wibr2
cell	wibr3	wibr3
cell	wibr7	wibr7
cell	wis2	wis2
cell	wm115	wm115
cell	wm262	wm262
cell	wm266-4	wm266-4
cell	wm 266-4 cell	wm 266-4
cell	wm 266-4 cell	wm266-4
cell	wm 266-4 cell	wm 266-4 cell
cell	wm451-lu	wm451-lu
cell	wsu-dlcl2	wsu-dlcl2
cell	zr-75-1	zr-75-1
content_type	antisense rna	antisense rna
content_type	cds	cds
content_type	cds	coding sequence
content_type	cds	coding_sequence
content_type	cds	insdc_feature:cds
content_type	centromere	centromere
content_type	centromere	insdc_feature:centromere
content_type	c gene segment	c gene segment
content_type	c_gene_segment	c gene
content_type	c_gene_segment	c_gene
content_type	c_gene_segment	c gene segment
content_type	c_gene_segment	c_gene_segment
content_type	c_gene_segment	constant gene
content_type	c_gene_segment	insdc_feature:c_region
content_type	clonal rearrangement, multiple peaks	clonal rearrangement, multiple peaks
content_type	clonal rearrangement, multiple peaks	peaks
content_type	clonal rearrangement, multiple peaks	replicated peaks
content_type	conservative idr thresholded peaks	conservative idr thresholded peaks
content_type	d gene segment	d gene segment
content_type	d loop	d loop
content_type	d_loop	displacement loop
content_type	d_loop	d loop
content_type	d_loop	d_loop
content_type	d_loop	d-loop
content_type	d_loop	insdc_feature:d-loop
content_type	enhancer	enhancer
content_type	enhancer	insdc_feature:regulatory
content_type	enhancer	insdc_qualifier:enhancer
content_type	exon	exon
content_type	exon	exon quantifications
content_type	exon	insdc_feature:exon
content_type	exon quantifications	exon quantifications
content_type	filtered cigar	filtered cigar
content_type	filtered cigar	filtered transcribed fragments
content_type	filtered transcribed fragments	filtered transcribed fragments
content_type	gene	gene
content_type	gene	genes
content_type	gene_segment	d gene segment
content_type	gene_segment	gene segment
content_type	gene_segment	gene_segment
content_type	hotspots	hotspots
content_type	intron	insdc_feature:intron
content_type	intron	intron
content_type	j gene segment	j gene segment
content_type	j_gene_segment	insdc_feature:j_segment
content_type	j_gene_segment	j gene
content_type	j_gene_segment	j-gene
content_type	j_gene_segment	j gene segment
content_type	j_gene_segment	j_gene_segment
content_type	lnc rna	lnc rna
content_type	mirna	insdc_feature:ncrna
content_type	mirna	insdc_qualifier:mirna
content_type	mirna	microrna
content_type	mirna	micro rna
content_type	mirna	mirna
content_type	mirna	small temporal rna
content_type	mirna	strna
content_type	mrna	insdc_feature:mrna
content_type	mrna	messenger rna
content_type	mrna	mrna
content_type	mrna	protein_coding_transcript
content_type	ncrna	insdc_qualifier:other
content_type	ncrna	known_ncrna
content_type	ncrna	ncrna
content_type	ncrna	noncoding rna
content_type	nipa1 wt allele	fsp3
content_type	nipa1 wt allele	hotspots
content_type	nipa1 wt allele	mgc102724
content_type	nipa1 wt allele	mgc35570
content_type	nipa1 wt allele	nipa1 wt allele
content_type	nipa1 wt allele	non imprinted in prader-willi/angelman syndrome 1 wt allele
content_type	nipa1 wt allele	spastic paraplegia 6 (autosomal dominant) gene
content_type	nipa1 wt allele	spg6
content_type	optimal idr thresholded peaks	optimal idr thresholded peaks
content_type	peaks	peaks
content_type	peaks and background as input for idr	peaks and background as input for idr
content_type	primary transcript	primary transcript
content_type	primary_transcript	insdc_feature:precursor_rna
content_type	primary_transcript	insdc_feature:prim_transcript
content_type	primary_transcript	precursor rna
content_type	primary_transcript	primary transcript
content_type	primary_transcript	primary_transcript
content_type	promoter	insdc_feature:regulatory
content_type	promoter	insdc_qualifier:promoter
content_type	promoter	promoter
content_type	promoter	promoter sequence
content_type	pseudoreplicated idr thresholded peaks	pseudoreplicated idr thresholded peaks
content_type	region	region
content_type	repeat region	repeat region
content_type	repeat_region	insdc_feature:repeat_region
content_type	repeat_region	insdc_qualifier:other
content_type	repeat_region	repeat region
content_type	repeat_region	repeat_region
content_type	replicated peaks	replicated peaks
content_type	rna	lnc rna
content_type	rna	rna
content_type	rna binding protein	rna binding protein
content_type	rna binding protein	rna-binding protein associated mrnas
content_type	rna binding protein	rna binding protein, chromatin remodeler
content_type	rna binding protein	rna binding protein, chromatin remodeller, transcription factor
content_type	rna binding protein	rna binding protein, cofactor
content_type	rna binding protein	rna binding protein, recombinant protein, transcription factor
content_type	rna binding protein	rna binding protein, transcription factor
content_type	rna-binding protein associated mrnas	rna-binding protein associated mrnas
content_type	rnase mrp rna	rnase mrp rna
content_type	rnase_mrp_rna	insdc_feature:ncrna
content_type	rnase_mrp_rna	insdc_qualifier:rnase_mrp_rna
content_type	rnase_mrp_rna	rnase mrp rna
content_type	rnase_mrp_rna	rnase_mrp_rna
content_type	rnase p rna	rnase p rna
content_type	rnase_p_rna	insdc_feature:ncrna
content_type	rnase_p_rna	insdc_qualifier:rnase_p_rna
content_type	rnase_p_rna	rnase p rna
content_type	rnase_p_rna	rnase_p_rna
content_type	rrna	insdc_feature:rrna
content_type	rrna	insdc_qualifier:unknown
content_type	rrna	ribosomal ribonucleic acid
content_type	rrna	ribosomal rna
content_type	rrna	rrna
content_type	selenocysteine	sec
content_type	selenocysteine	selenocysteine
content_type	selenocysteine	u
content_type	sequence feature	sequence feature
content_type	snorna	insdc_feature:ncrna
content_type	snorna	insdc_qualifier:snorna
content_type	snorna	small nucleolar rna
content_type	snorna	snorna
content_type	snrna	insdc_feature:ncrna
content_type	snrna	insdc_qualifier:snrna
content_type	snrna	small nuclear rna
content_type	snrna	snrna
content_type	srp rna	srp rna
content_type	srp_rna	7s rna
content_type	srp_rna	insdc_feature:ncrna
content_type	srp_rna	insdc_qualifier:srp_rna
content_type	srp_rna	signal recognition particle rna
content_type	srp_rna	srp rna
content_type	srp_rna	srp_rna
content_type	stable	stable
content_type	stable	stable peaks
content_type	stable peaks	stable peaks
content_type	start codon	start codon
content_type	start_codon	initiation codon
content_type	start_codon	start codon
content_type	start_codon	start_codon
content_type	stop codon	stop codon
content_type	stop_codon	stop codon
content_type	stop_codon	stop_codon
content_type	telomerase rna	telomerase rna
content_type	telomerase_rna	insdc_feature:ncrna
content_type	telomerase_rna	insdc_qualifier:telomerase_rna
content_type	telomerase_rna	telomerase rna
content_type	telomerase_rna	telomerase_rna
content_type	transcribed_fragment	transcribed fragment
content_type	transcribed_fragment	transcribed_fragment
content_type	transcribed_fragment	transcribed fragments
content_type	transcribed_fragment	transfrag
content_type	transcribed fragments	transcribed fragments
content_type	transcript	transcript
content_type	transcript	transcripts
content_type	trna	insdc_feature:trna
content_type	trna	insdc_qualifier:unknown
content_type	trna	transfer ribonucleic acid
content_type	trna	transfer rna
content_type	trna	trna
content_type	utr	untranslated region
content_type	utr	utr
content_type	vault rna	vault rna
content_type	vault_rna	insdc_feature:ncrna
content_type	vault_rna	insdc_qualifier:vault_rna
content_type	vault_rna	vault rna
content_type	vault_rna	vault_rna
content_type	v gene segment	v gene segment
content_type	v_gene_segment	insdc_feature:v_segment
content_type	v_gene_segment	variable_gene
content_type	v_gene_segment	v gene
content_type	v_gene_segment	v-gene
content_type	v_gene_segment	v gene segment
content_type	v_gene_segment	v_gene_segment
content_type	y rna	y rna
content_type	y_rna	insdc_feature:ncrna
content_type	y_rna	insdc_qualifier:y_rna
content_type	y_rna	y rna
content_type	y_rna	y_rna
data_type	annotation	annotation
data_type	cnv	cnv
data_type	copy number segment	copy number segment
data_type	dna methylation	dna methylation
data_type	dna seq	dna seq
data_type	domain	domain
data_type	exon quantification	exon quantification
data_type	gene expression	gene expression quantification
data_type	gene expression	gene quantification
data_type	isoform expression	isoform expression quantification
data_type	isoform expression	isoform quantification
data_type	masked copy number segment	masked copy number segment
data_type	masked somatic mutation	masked somatic mutation
data_type	methylation beta value	methylation beta value
data_type	mirna expression	mirna expression quantification
data_type	mirna expression	mirna quantification
data_type	peaks	peaks
data_type	spljxn quantification	spljxn quantification
data_type	variant calling	variant calling
disease	acute adult t-cell leukemia/lymphoma	acute adult t-cell leukemia/lymphoma
disease	acute adult t-cell leukemia/lymphoma	acute adult t-cell lymphoma/leukemia
disease	acute adult t-cell leukemia/lymphoma	acute t cell leukemia, cancer
disease	acute lymphoblastic leukemia	acute lymphoblastic leukemia
disease	acute lymphoblastic leukemia	acute lymphoblastic leukemia (all)
disease	acute lymphoblastic leukemia	acute lymphoblastic leukemia, nos
disease	acute lymphoblastic leukemia	acute lymphocytic leukaemia
disease	acute lymphoblastic leukemia	acute lymphocytic leukemia
disease	acute lymphoblastic leukemia	acute lymphocytic leukemias
disease	acute lymphoblastic leukemia	acute lymphogenous leukemia
disease	acute lymphoblastic leukemia	acute lymphoid leukemia
disease	acute lymphoblastic leukemia	all
disease	acute lymphoblastic leukemia	all - acute lymphocytic leukemia
disease	acute lymphoblastic leukemia	leukemia, lymphoblastic, malignant
disease	acute lymphoblastic leukemia	lymphoblastic leukemia
disease	acute lymphoblastic leukemia	precursor cell lymphoblastic leukemia
disease	acute lymphoblastic leukemia	precursor lymphoblasic leukemia
disease	acute lymphoblastic leukemia	precursor lymphoblastic leukemia
disease	acute lymphocytic leukemia	acute lymphocytic leukemia
disease	acute myeloid leukemia	acute granulocytic leukemia
disease	acute myeloid leukemia	acute myeloblastic leukemia
disease	acute myeloid leukemia	acute myelocytic leukemia
disease	acute myeloid leukemia	acute myelogenous leukemia
disease	acute myeloid leukemia	acute myelogenous leukemias
disease	acute myeloid leukemia	acute myeloid leukemia
disease	acute myeloid leukemia	acute myeloid leukemia (aml)
disease	acute myeloid leukemia	acute nonlymphocytic leukemia
disease	acute myeloid leukemia	aml
disease	acute myeloid leukemia	aml - acute myeloid leukemia
disease	acute myeloid leukemia	anll
disease	acute myeloid leukemia	hematopoeitic - acute myleogenous leukemia (aml)
disease	acute promyelocytic leukemia	acute myeloblastic leukemia type 3
disease	acute promyelocytic leukemia	acute myeloid leukemia m3
disease	acute promyelocytic leukemia	acute promyelocytic leukemia
disease	acute promyelocytic leukemia	acute promyelocytic leukemia, atrichia with papular lesions
disease	acute promyelocytic leukemia	acute promyelocytic leukemia, cancer
disease	acute promyelocytic leukemia, atrichia with papular lesions	acute promyelocytic leukemia, atrichia with papular lesions
disease	acute promyelocytic leukemia, cancer	acute promyelocytic leukemia, cancer
disease	acute t cell leukemia	acute t cell leukemia
disease	acute t cell leukemia, cancer	acute t cell leukemia, cancer
disease	adenocarcinoma	adenocarcinoma
disease	adenocarcinoma	adenocarcinoma, cancer
disease	adenocarcinoma	adenocarcinoma, malignant
disease	adenocarcinoma	adenocarcinoma, nos
disease	adenocarcinoma, cancer	adenocarcinoma, cancer
disease	adenoid cystic carcinoma	adenocystic carcinoma
disease	adenoid cystic carcinoma	adenoid cystic cancer
disease	adenoid cystic carcinoma	adenoid cystic carcinoma
disease	adenoid cystic carcinoma	cylindroid adenocarcinoma
disease	adenoid cystic carcinoma	submaxillar tumor
disease	adrenal cortex carcinoma	adenocarcinoma, adrenocortical, malignant
disease	adrenal cortex carcinoma	adrenal cortex adenocarcinoma
disease	adrenal cortex carcinoma	adrenal cortex cancer
disease	adrenal cortex carcinoma	adrenal cortex carcinoma
disease	adrenal cortex carcinoma	adrenal cortical adenocarcinoma
disease	adrenal cortex carcinoma	adrenal cortical carcinoma
disease	adrenal cortex carcinoma	adrenocortical cancer
disease	adrenal cortex carcinoma	adrenocortical carcinoma
disease	adrenal cortex carcinoma	adrenocortical carcinoma, nos
disease	adrenal cortex carcinoma	cancer of the adrenal cortex
disease	adrenal cortex carcinoma	carcinoma, adrenocortical, malignant
disease	adrenal cortex carcinoma	carcinoma of adrenal cortex
disease	adrenal cortex carcinoma	carcinoma of the adrenal cortex
disease	adrenal cortex carcinoma	cortical cell carcinoma
disease	adrenal gland pheochromocytoma	adrenal gland chromaffinoma
disease	adrenal gland pheochromocytoma	adrenal gland chromaffin paraganglioma
disease	adrenal gland pheochromocytoma	adrenal gland paraganglioma
disease	adrenal gland pheochromocytoma	adrenal gland pheochromocytoma
disease	adrenal gland pheochromocytoma	adrenal medullary paraganglioma
disease	adrenal gland pheochromocytoma	adrenal medullary pheochromocytoma
disease	adrenal gland pheochromocytoma	adrenal pheochromocytoma
disease	adrenal gland pheochromocytoma	chromaffin paraganglioma of the adrenal gland
disease	adrenal gland pheochromocytoma	intraadrenal paraganglioma
disease	adrenal gland pheochromocytoma	pcc
disease	adrenal gland pheochromocytoma	pheochromocythoma and paraganglioma
disease	adrenal gland pheochromocytoma	pheochromocytoma
disease	adrenal gland pheochromocytoma	pheochromocytoma (adrenal)
disease	adrenal gland pheochromocytoma	pheochromocytoma and paraganglioma
disease	adrenocortical carcinoma	adrenocortical carcinoma
disease	apparently healthy	apparently healthy
disease	b cell lymphoma	b cell lymphoma
disease	b-cell lymphoma	b-cell lymphoma
disease	b-cell non-hodgkin lymphoma	b cell lymphoma
disease	b-cell non-hodgkin lymphoma	b-cell lymphoma
disease	b-cell non-hodgkin lymphoma	b-cell non-hodgkin lymphoma
disease	b-cell non-hodgkin lymphoma	b-cell non hodgkin's lymphoma
disease	b-cell non-hodgkin lymphoma	b-cell non-hodgkin's lymphoma
disease	b-cell non-hodgkin lymphoma	lymphomas non-hodgkin's b-cell
disease	b-cell non-hodgkin lymphoma	non-hodgkin's b-cell lymphoma
disease	b-cell non-hodgkin lymphoma	non-hodgkin's lymphoma b-cell
disease	bladder carcinoma	bladder cancer
disease	bladder carcinoma	bladder carcinoma
disease	bladder carcinoma	cancer of bladder
disease	bladder carcinoma	cancer of the bladder
disease	bladder carcinoma	cancer of the urinary bladder
disease	bladder carcinoma	cancer of urinary bladder
disease	bladder carcinoma	carcinoma of bladder
disease	bladder carcinoma	carcinoma of the bladder
disease	bladder carcinoma	carcinoma of the urinary bladder
disease	bladder carcinoma	carcinoma of urinary bladder
disease	bladder carcinoma	urinary bladder cancer
disease	bladder carcinoma	urinary bladder carcinoma
disease	bladder urothelial carcinoma	bladder transitional cell carcinoma
disease	bladder urothelial carcinoma	bladder urothelial cancer
disease	bladder urothelial carcinoma	bladder urothelial carcinoma
disease	bladder urothelial carcinoma	transitional cell carcinoma of the urinary bladder
disease	bladder urothelial carcinoma	urinary bladder transitional cell carcinoma
disease	bladder urothelial carcinoma	urinary bladder urothelial carcinoma
disease	bladder urothelial carcinoma	urothelial carcinoma of the urinary bladder
disease	bone cancer, osteosarcoma	bone cancer, osteosarcoma
disease	bone osteosarcoma	bone cancer, osteosarcoma
disease	bone osteosarcoma	bone osteosarcoma
disease	bone osteosarcoma	osteosarcoma of bone
disease	brain glioma	brain glioma
disease	brain glioma	brain lower grade glioma
disease	brain glioma	lower grade glioma
disease	brain lower grade glioma	brain lower grade glioma
disease	breast adenocarcinoma	adenocarcinoma of breast
disease	breast adenocarcinoma	adenocarcinoma of the breast
disease	breast adenocarcinoma	breast adenocarcinoma
disease	breast adenocarcinoma	breast adenocarcinoma, breast cancer
disease	breast adenocarcinoma	breast cancer (adenocarcinoma)
disease	breast adenocarcinoma	mammary adenocarcinoma
disease	breast adenocarcinoma, breast cancer	breast adenocarcinoma, breast cancer
disease	breast cancer	breast cancer
disease	breast cancer (adenocarcinoma)	breast cancer (adenocarcinoma)
disease	breast cancer, breast carcinoma	breast cancer, breast carcinoma
disease	breast cancer, carcinoma	breast cancer, carcinoma
disease	breast carcinoma	breast cancer
disease	breast carcinoma	breast cancer, breast carcinoma
disease	breast carcinoma	breast cancer, carcinoma
disease	breast carcinoma	breast cancer, nos
disease	breast carcinoma	breast carcinoma
disease	breast carcinoma	cancer, breast
disease	breast carcinoma	cancer of breast
disease	breast carcinoma	cancer of the breast
disease	breast carcinoma	carcinoma of breast
disease	breast carcinoma	carcinoma of the breast
disease	breast carcinoma	mammary carcinoma
disease	breast ductal carcinoma	breast ductal carcinoma
disease	breast ductal carcinoma	duct carcinoma
disease	breast ductal carcinoma	mammary ductal carcinoma
disease	breast fibrocystic change	benign breast disease
disease	breast fibrocystic change	breast fibrocystic change
disease	breast fibrocystic change	breast fibrocystic disease
disease	breast fibrocystic change	cystic disease of breast
disease	breast fibrocystic change	cystic disease of the breast
disease	breast fibrocystic change	diffuse cystic mastopathy
disease	breast fibrocystic change	fibrocystic breast
disease	breast fibrocystic change	fibrocystic breast changes
disease	breast fibrocystic change	fibrocystic breast disease
disease	breast fibrocystic change	fibrocystic change of breast
disease	breast fibrocystic change	fibrocystic change of the breast
disease	breast fibrocystic change	fibrocystic disease
disease	breast fibrocystic change	fibrocystic disease of breast
disease	breast fibrocystic change	fibrocystic disease of the breast
disease	breast fibrocystic change	fibrocystic mastopathy
disease	breast fibrocystic change	mammary dysplasia
disease	breast invasive carcinoma	breast invasive carcinoma
disease	burkitt lymphoma	burkitt lymphoma
disease	burkitt lymphoma	burkitt's lymphoma
disease	burkitt lymphoma	small non-cleaved cell lymphoma, burkitt's type
disease	burkitt's lymphoma	burkitt's lymphoma
disease	cancer	cancer
disease	cancer, carcinoma	cancer, carcinoma
disease	cancer, carcinoma, cervicitis	cancer, carcinoma, cervicitis
disease	cancer, chronic myeloid leukemia, leukemia	cancer, chronic myeloid leukemia, leukemia
disease	cancer, colorectal adenocarcinoma	cancer, colorectal adenocarcinoma
disease	cancer, coronary artery disease, hypertension	cancer, coronary artery disease, hypertension
disease	cancer, embryonal carcinoma, embryonal testis carcinoma	cancer, embryonal carcinoma, embryonal testis carcinoma
disease	cancer, endometrial carcinoma	cancer, endometrial carcinoma
disease	cancer, hepatocellular carcinoma	cancer, hepatocellular carcinoma
disease	cancer, leukemia	cancer, leukemia
disease	cancer, lung adenocarcinoma	cancer, lung adenocarcinoma
disease	cancer, lung carcinoma	cancer, lung carcinoma
disease	cancer, neuroblastoma	cancer, neuroblastoma
disease	cancer, osteosarcoma	cancer, osteosarcoma
disease	cancer, osteosarcoma, sarcoma	cancer, osteosarcoma, sarcoma
disease	cancer, pancreatic carcinoma	cancer, pancreatic carcinoma
disease	cancer, prostate adenocarcinoma, prostate carcinoma	cancer, prostate adenocarcinoma, prostate carcinoma
disease	cancer, prostate cancer	cancer, prostate cancer
disease	cancer, retinoblastoma	cancer, retinoblastoma
disease	carcinoma	cancer, carcinoma
disease	carcinoma	carcinoma
disease	carcinoma	carcinoma, malignant
disease	carcinoma	carcinoma, nos
disease	carcinoma	epithelial carcinoma
disease	carcinoma	epithelioma malignant
disease	carcinoma	malignant epithelial neoplasm
disease	carcinoma	malignant epithelial tumor
disease	carcinoma	malignant epithelioma
disease	carcinoma	other carcinoma
disease	carcinoma, cervicitis	carcinoma, cervicitis
disease	carcinoma; large cell lung cancer	carcinoma; large cell lung cancer
disease	carcinoma (prostate)	carcinoma (prostate)
disease	cervical adenocarcinoma	adenocarcinoma - cervix
disease	cervical adenocarcinoma	adenocarcinoma of cervix
disease	cervical adenocarcinoma	adenocarcinoma of cervix uteri
disease	cervical adenocarcinoma	adenocarcinoma of the cervix
disease	cervical adenocarcinoma	adenocarcinoma of the cervix uteri
disease	cervical adenocarcinoma	adenocarcinoma of the uterine cervix
disease	cervical adenocarcinoma	adenocarcinoma of uterine cervix
disease	cervical adenocarcinoma	cervical adenocarcinoma
disease	cervical adenocarcinoma	cervical adenocarcinoma, nos
disease	cervical adenocarcinoma	cervical adenocarcinoma, not otherwise specified
disease	cervical adenocarcinoma	cervix adenocarcinoma
disease	cervical adenocarcinoma	cervix uteri adenocarcinoma
disease	cervical adenocarcinoma	uterine cervix adenocarcinoma
disease	cervical cancer	cervical cancer
disease	cervical carcinoma	cancer of cervix
disease	cervical carcinoma	cancer of the cervix
disease	cervical carcinoma	cancer of the uterine cervix
disease	cervical carcinoma	cancer of uterine cervix
disease	cervical carcinoma	carcinoma of cervix
disease	cervical carcinoma	carcinoma of cervix uteri
disease	cervical carcinoma	carcinoma of the cervix
disease	cervical carcinoma	carcinoma of the cervix uteri
disease	cervical carcinoma	carcinoma of the uterine cervix
disease	cervical carcinoma	carcinoma of uterine cervix
disease	cervical carcinoma	cervical cancer
disease	cervical carcinoma	cervical cancer, nos
disease	cervical carcinoma	cervical carcinoma
disease	cervical carcinoma	cervical squamous cell carcinoma and endocervical adenocarcinoma
disease	cervical carcinoma	cervix cancer
disease	cervical carcinoma	cervix carcinoma
disease	cervical carcinoma	cervix uteri carcinoma
disease	cervical carcinoma	uterine cervix cancer
disease	cervical carcinoma	uterine cervix carcinoma
disease	cervical squamous cell carcinoma and endocervical adenocarcinoma	cervical squamous cell carcinoma and endocervical adenocarcinoma
disease	cervicitis	cancer, carcinoma, cervicitis
disease	cervicitis	carcinoma, cervicitis
disease	cervicitis	cervicitis
disease	childhood chronic myelogenous leukemia, bcr-abl1 positive	childhood chronic myelogenous leukemia
disease	childhood chronic myelogenous leukemia, bcr-abl1 positive	childhood chronic myelogenous leukemia, bcr-abl1 positive
disease	childhood chronic myelogenous leukemia, bcr-abl1 positive	childhood chronic myeloid leukemia
disease	childhood chronic myelogenous leukemia, bcr-abl1 positive	childhood cml
disease	childhood chronic myelogenous leukemia, bcr-abl1 positive	chronic myelogenous leukemia (cml)
disease	cholangiocarcinoma	cc
disease	cholangiocarcinoma	cholangiocarcinoma
disease	cholangiocarcinoma	cholangiocarcinoma, intrahepatic and extrahepatic bile ducts (adenocarcinoma)
disease	cholangiocarcinoma	cholangiocarcinoma, malignant
disease	cholangiocarcinoma	cholangiocar.- intra/extrahepatic
disease	cholangiocarcinoma	cholangiocellular carcinoma
disease	cholangiocarcinoma	cholangiosarcoma
disease	cholangiocarcinoma	intrahepatic bile duct cancer (cholangiocarcinoma)
disease	choroiditis	choroiditis
disease	chromophobe renal cell carcinoma	chromophobe adenocarcinoma
disease	chromophobe renal cell carcinoma	chromophobe carcinoma
disease	chromophobe renal cell carcinoma	chromophobe carcinoma of kidney
disease	chromophobe renal cell carcinoma	chromophobe carcinoma of the kidney
disease	chromophobe renal cell carcinoma	chromophobe cell carcinoma of kidney
disease	chromophobe renal cell carcinoma	chromophobe cell carcinoma of the kidney
disease	chromophobe renal cell carcinoma	chromophobe renal cell cancer
disease	chromophobe renal cell carcinoma	chromophobe renal cell carcinoma
disease	chromophobe renal cell carcinoma	kidney chromophobe
disease	chromophobe renal cell carcinoma	renal cell carcinoma, chromophobe type
disease	chronic leukemia, chronic myeloid leukemia	chronic leukemia, chronic myeloid leukemia
disease	chronic myelogenous leukemia (cml)	chronic myelogenous leukemia (cml)
disease	chronic myeloid leukemia	chronic granulocytic leukemia
disease	chronic myeloid leukemia	chronic leukemia, chronic myeloid leukemia
disease	chronic myeloid leukemia	chronic myelogenous leukemia
disease	chronic myeloid leukemia	chronic myeloid leukemia
disease	chronic myeloid leukemia	cml
disease	chronic myeloid leukemia	cml - chronic myelogenous leukemia
disease	chronic myeloid leukemia	myeloid leukemia, chronic
disease	chronic myeloid leukemia, leukemia	chronic myeloid leukemia, leukemia
disease	chronic myeloid leukemia pathway	cancer, chronic myeloid leukemia, leukemia
disease	chronic myeloid leukemia pathway	chronic myeloid leukemia
disease	chronic myeloid leukemia pathway	chronic myeloid leukemia, leukemia
disease	chronic myeloid leukemia pathway	chronic myeloid leukemia pathway
disease	chronic myeloid leukemia pathway	cml pathway
disease	clavien-dindo grade iv	clavien-dindo grade iv
disease	clavien-dindo grade iv	grade iv
disease	clavien-dindo grade iv	grade iv, adenocarcinoma
disease	colon adenocarcinoma	adenocarcinoma - colon
disease	colon adenocarcinoma	adenocarcinoma of colon
disease	colon adenocarcinoma	adenocarcinoma of the colon
disease	colon adenocarcinoma	colon adenocarcinoma
disease	colon adenocarcinoma	colonic adenocarcinoma
disease	colon cancer	colon cancer
disease	colon carcinoma	carcinoma of colon
disease	colon carcinoma	carcinoma of the colon
disease	colon carcinoma	colon cancer
disease	colon carcinoma	colon carcinoma
disease	colon carcinoma	colonic carcinoma
disease	colorectal adenocarcinoma	adenocarcinoma of large bowel
disease	colorectal adenocarcinoma	adenocarcinoma of large intestine
disease	colorectal adenocarcinoma	adenocarcinoma of the large bowel
disease	colorectal adenocarcinoma	adenocarcinoma of the large intestine
disease	colorectal adenocarcinoma	cancer, colorectal adenocarcinoma
disease	colorectal adenocarcinoma	colorectal adenocarcinoma
disease	colorectal adenocarcinoma	colorectal (colon or rectal) adenocarcinoma
disease	colorectal adenocarcinoma	dukes' type c, grade iv, colorectal adenocarcinoma
disease	colorectal adenocarcinoma	large bowel adenocarcinoma
disease	colorectal adenocarcinoma	large intestine adenocarcinoma
disease	colorectal cancer	colorectal cancer
disease	colorectal cancer pathway	colorectal cancer
disease	colorectal cancer pathway	colorectal cancer pathway
disease	colorectal cancer pathway	crc pathway
disease	colorectal carcinoma	cancer of large bowel
disease	colorectal carcinoma	cancer of large intestine
disease	colorectal carcinoma	cancer of the large bowel
disease	colorectal carcinoma	cancer of the large intestine
disease	colorectal carcinoma	carcinoma of large bowel
disease	colorectal carcinoma	carcinoma of large intestine
disease	colorectal carcinoma	carcinoma of the large bowel
disease	colorectal carcinoma	carcinoma of the large intestine
disease	colorectal carcinoma	colorectal cancer
disease	colorectal carcinoma	colorectal cancer, nos
disease	colorectal carcinoma	colorectal carcinoma
disease	colorectal carcinoma	colorectal (colon or rectal) cancer
disease	colorectal carcinoma	crc
disease	colorectal carcinoma	large bowel cancer
disease	colorectal carcinoma	large bowel carcinoma
disease	colorectal carcinoma	large intestine cancer
disease	colorectal carcinoma	large intestine carcinoma
disease	cornelia de lange syndrome	cornelia de lange syndrome 1; cdls1; nipped-b-like; nipbl
disease	cornelia de lange syndrome	de lange phenotype; developmental delay; profound retardation; seizures; 3 cousins are also affected; 46,xy,-22,+der (22)t(3;22)(q25.3;p12)
disease	cornelia de lange syndrome 1; cdls1; nipped-b-like; nipbl	cornelia de lange syndrome 1; cdls1; nipped-b-like; nipbl
disease	coronary artery disease	cad
disease	coronary artery disease	cancer, coronary artery disease, hypertension
disease	coronary artery disease	coronary artery disease
disease	coronary artery disease	coronary artery disease, hypertension
disease	coronary artery disease	coronary disease
disease	coronary artery disease	coronary heart disease
disease	coronary artery disease, hypertension	coronary artery disease, hypertension
disease	cutaneous melanoma	cutaneous melanoma
disease	cutaneous melanoma	cutaneous (skin) melanoma
disease	cutaneous melanoma	malignant cutaneous melanoma
disease	cutaneous melanoma	malignant melanoma of skin
disease	cutaneous melanoma	malignant melanoma (of skin), stage unspecified
disease	cutaneous melanoma	malignant melanoma of skin stage unspecified
disease	cutaneous melanoma	melanoma of skin
disease	cutaneous melanoma	melanoma of the skin
disease	cutaneous melanoma	skin cutaneous melanoma
disease	cutaneous melanoma	skin melanoma
disease	cutaneous melanoma	skin, melanoma
disease	cystadenocarcinoma	cystadenocarcinoma
disease	cystadenocarcinoma	cystadenocarcinoma, malignant
disease	de lange phenotype; developmental delay; profound retardation; seizures; 3 cousins are also affected; 46,xy,-22,+der (22)t(3;22)(q25.3;p12)	de lange phenotype; developmental delay; profound retardation; seizures; 3 cousins are also affected; 46,xy,-22,+der (22)t(3;22)(q25.3;p12)
disease	diffuse large b-cell lymphoma	diffuse histiocytic lymphoma
disease	diffuse large b-cell lymphoma	diffuse histiocytic lymphomas
disease	diffuse large b-cell lymphoma	diffuse large b-cell lymphoma
disease	diffuse large b-cell lymphoma	diffuse, large b-cell, lymphoma
disease	diffuse large b-cell lymphoma	diffuse large b-cell lymphoma, tonsillitis
disease	diffuse large b-cell lymphoma	diffuse large cell lymphoma
disease	diffuse large b-cell lymphoma	diffuse large-cell lymphoma
